NOM,Prénom,Email,Mot de passe,Classe
OX,Max,588@domain.com,,6 C
OX,Maxence,589@domain.com,,4 E
OX,Maxence,590@domain.com,,5 B
OYIR,Maxime,591@domain.com,,3G
OZETS,Maxime,592@domain.com,,3G
OZIT,Maxime,593@domain.com,,3A
OZTIGOI,Maxime,594@domain.com,,3 E
PEDETO,Maxime,595@domain.com,,5 D
PIES,Maxine,596@domain.com,,4 F
PIES,May-Line,597@domain.com,,4 D
PIN,Médina,598@domain.com,,4 F
PIRT,Mehdi,599@domain.com,,"0,1666666667"
PIS,Mélissa,600@domain.com,,6 E
PIS,Michel,601@domain.com,,6 F
PITEL,Miguel,602@domain.com,,4 B
PLET,Mikel,603@domain.com,,4 G
PLI,Mikel,604@domain.com,,6 D
POIS,Mila,605@domain.com,,6 D
PONT-CHINI,Milène,606@domain.com,,4 G
POORTIR,Minna,607@domain.com,,"0,2083333333"
POOY,Moncéf,608@domain.com,,6 D
PPIRON,Morgan,609@domain.com,,4 G
R,Morgane,610@domain.com,,4 B
R,Morgane,611@domain.com,,6 C
RBI,Morgane,612@domain.com,,3G
RBIEOX,Morgane,613@domain.com,,5 E
RBIIR,Morgane,614@domain.com,,5 F
RBIN,Morgane,615@domain.com,,3A
RBIN,Naela,616@domain.com,,6 F
RBLEDI,Nahia,617@domain.com,,3 B
RBONNIT,Nahia,618@domain.com,,5 E
RBOSE PIRIIRE,Nahuel,619@domain.com,,5 L
RBREOD,Naia,620@domain.com,,4 G
RCHI DI KIYSIR,Naïa,621@domain.com,,6 F
RCHIONI,Naïa,622@domain.com,,4 C
RCHON,Naïs,623@domain.com,,6 C
RCIE,Naomi,624@domain.com,,5 B
RCIE,Naomi,625@domain.com,,3 L
RCIIR,Nathan,626@domain.com,,5 G
RCIL,Nawel,627@domain.com,,"0,25"
RCIRE,Neigeline,628@domain.com,,3A
RCOLLIT,Neji,629@domain.com,,5 L
RCOLLIT,Névèn,630@domain.com,,6 F
RDECHER,Nicolas,631@domain.com,,3 C
RDELLI GELLIENO,Nicolas,632@domain.com,,3 C
RDEN,Nicolas,633@domain.com,,4 E
RDETO,Nikolas,634@domain.com,,4 D
RDIN,Nils,635@domain.com,,6 E
RDIVET,Nina,636@domain.com,,"0,2083333333"
RDOBE,Nino,637@domain.com,,3 D
RECOTCHI,Nino,638@domain.com,,5 E
REL,Noa,639@domain.com,,6 L
REMBOORI,Noa,640@domain.com,,5 C
REMIL,Noa,641@domain.com,,3 D
REN,Noah,642@domain.com,,3 E
REO,Noelly,643@domain.com,,"0,25"
REOD,Noemie,644@domain.com,,3G
RETIGOI,Noémie,645@domain.com,,5 D
RGIT,Nolwenn,646@domain.com,,"0,2083333333"
RGOIRITTI,Norah,647@domain.com,,3 D
RGOIS,Noriane,648@domain.com,,3G
RGOS CISPIDIS,Océane,649@domain.com,,3 C
RGOY,Ohiana,650@domain.com,,4 G
RHO,Oihan,651@domain.com,,4 G
RI,Oihan,652@domain.com,,4 C
RI,Oihan,653@domain.com,,"0,2083333333"
RIBERNI,Oihan,654@domain.com,,3 C
RIERT,Oihan,655@domain.com,,6 C
RIERT DORROTHY,Oihan,656@domain.com,,3 D
RIGON,Oihana,657@domain.com,,"0,2083333333"
RIGOYIN,Oihana,658@domain.com,,"0,2083333333"
RIGOYIN,Oihana,659@domain.com,,3 D
RIILLI,Oihana,660@domain.com,,4 E
RI-LEGERISTI,Olivia,661@domain.com,,4 F
RIM I SOOSE,Olivier,662@domain.com,,5 F
RIM I SOOSE,Oscar,663@domain.com,,6 F
RIN,Oscar,664@domain.com,,3 F
RINGIR,Oscar,665@domain.com,,5 C
RINIT-RODRIGOIZ,Othmane,666@domain.com,,5 F
RINIT-RODRIGOIZ,Pablo,667@domain.com,,4 D
RINO,Pablo,668@domain.com,,3 C
RISSIIR,Paco,669@domain.com,,5 D
RISSON,Paloma,670@domain.com,,3 E
RISSON,Pantxika,671@domain.com,,3A
RITTI,Paola,672@domain.com,,"0,25"
RIZ,Pascal,673@domain.com,,3 D
RLIN-SEKEMOTO,Patxi,674@domain.com,,4 E
RMENO,Patxi,675@domain.com,,5 G
RNERD,Patxi,676@domain.com,,6 B
RNICKIR,Paul,677@domain.com,,4 F
RNII,Paul,678@domain.com,,3 C
RONNY,Paul,679@domain.com,,3G
ROO,Paul,680@domain.com,,6 F
ROOX,Paul,681@domain.com,,"0,25"
ROSINSKI-CESTY,Paul,682@domain.com,,4 D
ROSSEGEREY,Paul,683@domain.com,,6 D
ROT,Pauline,684@domain.com,,4 C
ROTCERINI,Pauline,685@domain.com,,"0,2083333333"
ROTCHIT,Pédro,686@domain.com,,4 G
ROTCHIT,Peio,687@domain.com,,"0,2083333333"
ROTIE,Peio,688@domain.com,,4 F
ROTIE,Pierre,689@domain.com,,4 F
ROTIE,Pierre Antoine,690@domain.com,,3 B
RR,Pierre-Esteban,691@domain.com,,"0,25"
RRECCI,Quentin,692@domain.com,,6 F
RREILH,Quentin,693@domain.com,,4 L
RREMINDY,Quentin,694@domain.com,,5 F
RRIBIY - POOJOL,Rafaël,695@domain.com,,3 F
RRIC,Ramuntxo,696@domain.com,,3A
RRIGOIS,Raphaël,697@domain.com,,4 F
RRIIO,Raphaël,698@domain.com,,3 E
RRIIOX JOSON,Rayan,699@domain.com,,3 L
RRINILLO,Rayhan,700@domain.com,,5 L
RRIRO CHECON,Rebecca,701@domain.com,,5 C
RRIS,Remy,702@domain.com,,4 F
RRIS,Remy,703@domain.com,,5 E
RRITCHON,René-Lucas,704@domain.com,,6 D
RRIY,Ricardo,705@domain.com,,3 E
RROE,Robin,706@domain.com,,6 C
RROE,Robin,707@domain.com,,"0,25"
RROOIT,Romain,708@domain.com,,"0,2083333333"
RSENS,Romain,709@domain.com,,6 F
RTHEBORO-CENIROT,Romain,710@domain.com,,4 E
RTHILIMY,Romain,711@domain.com,,5 E
RTHILOT,Romain,712@domain.com,,3A
RTHILOT,Romain,713@domain.com,,6 B
RTI,Romane,714@domain.com,,5 F
RTI,Romane,715@domain.com,,5 B
RTIEL,Romeo,716@domain.com,,5 C
RTIEO,Roméo,717@domain.com,,3 E
RTIGEO,Romuald,718@domain.com,,3G
RTIGOI,Ruben,719@domain.com,,6 F
RTIL,Ruben,720@domain.com,,5 B
RTILLIT,Rubine,721@domain.com,,6 B
RTIN,Sabrina,722@domain.com,,6 L
RTINIZ,Sacha,723@domain.com,,5 L
RTONI CORROY,Sacha,724@domain.com,,4 E
RVERIC,Sacha,725@domain.com,,"0,2083333333"
RVOOT,Salim,726@domain.com,,6 D
RZOOK,Salomé,727@domain.com,,5 D
S,Samuel,728@domain.com,,3G
S,Samuel,729@domain.com,,6 C
S SENTOS PEOLINO,Sarah,730@domain.com,,5 F
SCOOEO,Sarah,731@domain.com,,6 E
SCOOTI,Sarah,732@domain.com,,6 L
SCOSSI,Sara-Lou,733@domain.com,,6 E
SE,Savannah,734@domain.com,,3A
SEE,Selene,735@domain.com,,3 F
SEEDI,Selma,736@domain.com,,4 D
SELIS,Séphir,737@domain.com,,5 L
SELIS,Serigne,738@domain.com,,3 F
SGA,Shaïlie,739@domain.com,,6 D
SILVE CEMPOS,Shaima,740@domain.com,,3 B
SJERDINS,Shaina,741@domain.com,,5 C
SKEYIV,Shaïna,742@domain.com,,3 C
SKEYIV,Shan,743@domain.com,,5 C
SON,Sibylle,744@domain.com,,5 E
SPIS,Simon,745@domain.com,,5 F
SPRIES,Sokhna,746@domain.com,,4 C
SSEING,Solal,747@domain.com,,5 E
SSEING,Solène,748@domain.com,,"0,2083333333"
SSEINT,Solenn,749@domain.com,,4 E
SSENI-DIES,Souane,750@domain.com,,4 F
SSERREGOI,Stany,751@domain.com,,5 E
SSIF,Stella,752@domain.com,,5 E
SSIL,Sulaymân,753@domain.com,,3G
SSIL,Swann,754@domain.com,,4 B
SSIN,Tahina,755@domain.com,,4 D
SSINGO--HOMBIL,Taina,756@domain.com,,3A
SSON,Taïs,757@domain.com,,4 L
SSON-ENTEKI,Tess,758@domain.com,,5 L
STE FORTONE,Théo,759@domain.com,,6 D
STET PICERD,Théo,760@domain.com,,"0,2083333333"
STIDI,Théo,761@domain.com,,3 L
STIINS,Théo,762@domain.com,,4 G
STRIBETS,Thibaud,763@domain.com,,6 B
STRIC,Thibault,764@domain.com,,4 E
T,Thibault,765@domain.com,,6 B
TE,Thibaut,766@domain.com,,3A
TECHIT,Thomas,767@domain.com,,5 D
TEYNOO,Thomas,768@domain.com,,6 F
TFOORT,Thomas,769@domain.com,,6 L
THIS,Thomas,770@domain.com,,4 F
THIS,Thomas,771@domain.com,,4 E
THIY,Thomas,772@domain.com,,3 C
THOIT,Tiare,773@domain.com,,"0,2083333333"
TIILLO,Tilio,774@domain.com,,3 F
TIOT,Timotéo,775@domain.com,,3 F
TIT,Titouan,776@domain.com,,3 D
TIZ,Tom,777@domain.com,,"0,2083333333"
TIZ OCEMPO,Tom,778@domain.com,,5 B
TIZBIRIE,Tom,779@domain.com,,3G
TOHI ENDIEZEBEL,Trystan,780@domain.com,,3 B
TONIO,Turpal,781@domain.com,,5 B
TOORNIS YIRME,Txomin,782@domain.com,,5 F
TOT-ELBIRT,Ugo,783@domain.com,,3 F
TRI,Unai,784@domain.com,,6 C
TRII,Unai,785@domain.com,,5 G
TRIM,Unaï,786@domain.com,,4 D
TSEBY,Usho,787@domain.com,,"0,1666666667"
TTENIO,Valentin,788@domain.com,,6 E
TXEGOI,Valentin,789@domain.com,,4 E
VERRI,Victoire,790@domain.com,,3 D
VIGNIEO,Victor,791@domain.com,,5 F
VIIR,Victor,792@domain.com,,4 L
VIIRI,Victor,793@domain.com,,5 G
VILE EGOIRRI,Vincent,794@domain.com,,6 D
VIL-MORTIEOX,Vincent,795@domain.com,,4 L
VIN,Violette,796@domain.com,,3G
VIS DI OLIVIRE,Winkler,797@domain.com,,4 E
VIT,Xabi,798@domain.com,,5 E
VIT,Xabi,799@domain.com,,3A
VOIGNEC,Xan,800@domain.com,,"0,25"
VY,Xan,801@domain.com,,3 F
VY,Xana,802@domain.com,,5 C
YI,Xani,803@domain.com,,3A
YI,Xanti,804@domain.com,,"0,25"
YIT,Xilban,805@domain.com,,"0,25"
YLI,Yamine,806@domain.com,,6 E
YLIS,Yan,807@domain.com,,4 C
YOT,Yanis,808@domain.com,,4 C
YOT DRON,Yannis,809@domain.com,,5 F
YS,Yoann,810@domain.com,,5 D
YSSIIR,Yohan,811@domain.com,,6 B
YSSIT,Yon,812@domain.com,,6 E
YTY,Younes,813@domain.com,,5 F
ZENNI,Yuri,814@domain.com,,5 D
ZINEVI,Yvan,815@domain.com,,3 F
ZIOR,Zia,816@domain.com,,4 F
ZMENOWSKI,Zoé,817@domain.com,,5 C
ZMENOWSKI,Zoé,818@domain.com,,4 E
,Zoé,819@domain.com,,6 E
